user_id,item_id,posted,recommend,sentiment_analysis
76561197970982479,1250,2011-11-05,True,2
76561197970982479,22200,2011-07-15,True,2
76561197970982479,43110,2011-04-21,True,2
js41637,251610,2014-06-24,True,2
js41637,227300,2013-09-08,True,0
js41637,239030,2013-11-29,True,0
evcentric,248820,,True,2
evcentric,370360,2015-12-04,True,2
evcentric,237930,2014-11-03,True,2
evcentric,263360,2014-10-15,True,0
evcentric,107200,2014-10-15,True,2
evcentric,224500,2014-10-15,True,2
doctr,250320,2013-10-14,True,2
doctr,20920,2012-07-28,True,2
doctr,204100,2012-06-02,True,2
doctr,224600,2014-06-29,True,2
doctr,207610,2012-11-22,True,0
doctr,108710,2012-02-23,True,2
maplemage,211420,2014-04-15,True,1
maplemage,211820,2013-12-23,True,2
maplemage,730,2014-03-14,True,2
maplemage,204300,2013-07-11,True,2
Wackky,249130,2014-05-05,True,0
Wackky,207610,2012-12-24,True,0
Wackky,550,2012-10-21,True,1
Wackky,65800,2012-03-20,True,0
Wackky,220,2012-03-09,True,2
76561198079601835,730,,True,1
MeaTCompany,730,,True,0
76561198089393905,72850,2015-02-01,True,0
76561198089393905,440,2014-06-20,True,1
76561198156664158,252950,,True,2
76561198077246154,440,,True,1
76561198077246154,304930,2014-08-25,True,1
WeiEDKrSat,4000,2013-12-25,True,1
thequeenpanda,42910,2012-06-23,True,1
death-hunter,232090,2015-09-05,True,2
death-hunter,1250,2015-03-30,True,2
death-hunter,4000,2014-02-19,True,2
DJKamBer,304930,2014-07-14,True,0
DJKamBer,570,2013-04-27,True,2
DJKamBer,218620,2015-07-20,True,2
DJKamBer,224260,2013-11-04,True,2
DJKamBer,1250,2013-07-12,True,2
DJKamBer,440,2012-08-19,True,1
Rainbow-Dashie,730,2015-06-19,True,2
Rainbow-Dashie,440,2014-09-20,True,2
Rainbow-Dashie,49520,2014-09-07,True,0
76561198043472122,33440,2014-12-19,False,0
MarbleShrine,220200,2015-02-17,True,2
PPanther,211820,2014-06-07,True,2
devvonst,440,2014-02-12,True,2
devvonst,218740,2014-02-09,True,1
devvonst,550,2015-10-31,True,2
Fr0stedLine,220,,True,2
starkillershadow553,238090,2015-02-04,True,2
starkillershadow553,242130,,True,0
starkillershadow553,277430,2014-04-05,True,2
76561198058373434,8870,2015-01-08,True,1
76561198048353577,368230,2015-10-26,True,0
76561198048353577,4000,,True,2
76561198048353577,33930,2013-03-20,True,2
76561198066046412,359320,2015-12-28,False,0
76561198066046412,219640,2015-05-19,True,2
tru_mu_,287980,2015-12-15,True,2
76561198070565427,218620,,True,1
76561198070565427,208090,2015-08-21,True,1
76561198070565427,242700,2014-10-17,True,1
76561198070565427,570,2014-06-27,False,1
76561198070565427,224260,2014-04-28,True,1
SavageEeEe,221100,2015-11-12,True,2
76561198076909484,570,2014-06-18,True,0
KanadeTheNeko,331470,2014-11-20,True,2
KanadeTheNeko,4000,2014-05-29,True,2
Leaf_Light_Moscow,323370,,True,2
GoAwayZach,304930,2014-12-29,True,2
76561198054540475,12210,2015-02-13,True,2
76561198054540475,265210,2014-12-26,True,1
76561198054540475,48700,2014-02-04,True,2
76561198085547365,238460,,True,2
76561198085547365,34900,,True,2
76561198061252210,730,2015-05-21,True,2
OfficialShroomsy,113200,2013-12-06,True,0
boydeer,440,2014-05-12,True,1
boydeer,383080,2015-08-24,False,1
VVillis,213670,2015-01-06,True,1
76561198083226897,105600,2015-12-22,True,0
76561198075277292,730,2015-06-23,True,1
76561198075277292,570,2015-09-11,True,2
76561198028895010,231180,2013-04-22,True,2
76561198028895010,620,2012-05-27,True,2
76561198170198366,271290,,True,2
diego9031,4000,,True,1
diego9031,317360,,True,1
diego9031,223710,2015-12-05,True,1
diego9031,299360,2015-10-04,True,1
diego9031,322330,2015-10-03,True,2
diego9031,1250,2015-08-13,True,1
diego9031,12100,2015-02-22,True,1
diego9031,204360,2015-01-14,True,2
diego9031,440,2013-12-14,True,0
diego9031,224260,2013-12-01,True,2
jarrodtrim,440,2012-02-11,True,2
76561198078738103,304930,,True,0
76561198067936203,440,2015-03-12,True,2
76561198079770573,1840,2015-10-14,True,1
76561198087586464,440,2013-10-27,True,2
Derp-e,440,2015-11-27,True,2
76561198070194565,233250,2014-10-09,True,1
76561198070194565,449140,,True,1
76561198070194565,368730,,True,1
76561198070194565,246280,,True,1
76561198070194565,427270,,True,2
76561198070194565,397100,,True,1
76561198070194565,248570,2015-11-09,True,1
Rivtex,298630,2015-12-23,True,1
UTNerd24,244210,2014-05-06,True,0
UTNerd24,440,2015-12-02,True,0
UTNerd24,376920,2015-06-06,True,2
UTNerd24,257750,2015-09-29,True,1
UTNerd24,221910,2014-09-08,True,0
UTNerd24,2280,2013-12-15,True,2
sandwiches1,417860,2015-11-23,False,1
76561198138053270,218620,2014-06-01,True,2
lucaswerg,218620,2014-07-11,True,2
lucaswerg,222880,2014-11-14,True,1
Life-Of-Blu,377160,2015-11-13,True,2
Life-Of-Blu,211820,2013-12-15,True,2
CaptianAutismo,252490,2015-12-17,True,2
76561198075895633,440,2014-10-26,True,2
TheDropix101,242920,,True,2
kube134,251990,2014-06-28,True,2
iamthekingofbrowntown,344760,2015-09-12,False,0
iamthekingofbrowntown,252950,2015-09-13,True,1
iamthekingofbrowntown,236430,,True,1
iamthekingofbrowntown,399730,2015-10-14,True,2
MainScout,550,,True,2
yookobz,377160,2015-11-19,True,2
yookobz,219150,2013-06-25,True,2
Posiblydead,277430,2014-04-11,True,2
Posiblydead,239820,2014-02-22,True,2
Posiblydead,17410,2012-09-24,True,2
Mossy_Gaming,440,2015-09-26,True,2
76561198102421718,270550,2015-06-12,True,2
76561198102421718,274940,2015-08-03,True,2
76561198102421718,333930,2015-06-26,True,0
76561198087407319,440,2014-01-15,True,0
76561198056741844,730,2014-10-14,True,1
sad-commie,294100,,True,0
sad-commie,212070,2014-07-09,True,2
sad-commie,264140,2014-03-13,True,2
76561198030567998,332800,2014-11-11,True,1
76561198030567998,319630,2015-07-21,True,2
76561198030567998,6020,2015-07-05,True,1
76561198030567998,55230,2015-03-12,True,2
76561198030567998,32430,2014-02-23,True,2
76561198010674657,377160,,False,2
76561198010674657,440,,True,0
Coldaniel,35450,2015-03-22,True,2
Coldaniel,440,2014-08-21,True,2
Coldaniel,236390,2015-03-13,True,2
therealmorty,351570,2015-03-20,True,2
therealmorty,212680,2015-03-07,True,0
Berserklejerker,391540,2015-10-10,True,1
76561198061730629,550,2014-07-06,True,2
YoHuNz,440,2014-06-19,True,1
YoHuNz,570,2014-02-19,True,1
possessioniskey,72850,2015-04-11,True,2
possessioniskey,440,2015-12-24,True,0
possessioniskey,113400,2014-05-17,True,0
76561198093112529,440,2014-08-09,True,1
76561198060447950,200510,2015-09-26,True,2
whiteofwolfing,730,2015-05-22,True,2
sergarino,383080,2015-08-22,True,1
76561198081962345,200210,,True,2
76561198081962345,1250,2014-04-05,True,1
76561198073210139,304050,,True,0
Nozomikat,265610,2015-12-30,True,0
Nozomikat,264200,2014-08-01,True,1
Nozomikat,417860,2015-12-26,True,0
Nozomikat,333600,2015-04-14,True,2
Nozomikat,213670,2014-12-30,True,2
Nozomikat,91310,2013-12-04,True,2
Nozomikat,437220,,False,0
Nozomikat,210770,2013-12-04,True,0
xfluttersx,351640,2015-11-10,True,2
xfluttersx,202530,,False,2
xfluttersx,105600,2012-08-27,True,2
xfluttersx,440,2014-02-05,True,2
xfluttersx,47870,2013-01-27,True,2
xfluttersx,383080,2015-08-25,True,2
xfluttersx,410,2012-08-27,True,2
76561198056290589,730,2014-12-16,True,2
ii_voltage_ii,253710,2014-06-29,False,0
ii_voltage_ii,339280,2015-04-11,True,2
ii_voltage_ii,271290,2014-03-08,True,2
ii_voltage_ii,203290,2013-11-16,True,2
76561198097762318,440,2015-11-11,True,1
76561198097762318,233150,2014-12-26,True,0
Hirukaz,550,2013-01-17,True,0
StelerForYou,730,2015-07-17,True,2
StelerForYou,211820,2013-12-29,True,2
76561198183396245,440,2015-05-06,True,2
Xx-Woods,346330,,False,1
Xx-Woods,224260,2015-01-26,True,2
Xx-Woods,317360,2014-11-16,True,2
Xx-Woods,295550,2014-08-17,True,2
Xx-Woods,250180,2014-07-21,True,1
Xx-Woods,227940,2014-07-19,True,1
Xx-Woods,17520,2014-02-08,True,2
Xx-Woods,113420,2014-01-07,True,2
kevinator23,320760,2015-07-06,True,0
kevinator23,8850,2015-09-06,True,2
kevinator23,233720,2014-04-24,True,0
kevinator23,218620,2015-07-06,True,0
kevinator23,730,2015-01-27,True,2
kevinator23,219740,2015-01-25,True,2
kevinator23,220240,2014-05-24,True,2
kevinator23,440,2012-10-20,True,2
76561198090715178,4000,2014-03-28,True,2
76561198090715178,304930,2014-07-09,True,2
CatsWhale,333950,2015-02-23,True,0
CatsWhale,388520,2015-08-29,True,2
CatsWhale,107410,2014-11-23,True,0
CatsWhale,206210,2014-09-09,True,1
76561198073784601,221100,2015-03-26,True,2
76561198073784601,299740,,False,0
mimimomoma,730,2015-11-23,True,0
76561198102410011,440,2015-09-14,True,1
de_Butl3r,209870,2014-10-13,True,0
76561198027947401,322170,,True,2
76561198027947401,304050,,True,2
Bluezap1,440,2015-12-27,True,2
Bluezap1,730,2015-05-13,True,2
Bluezap1,362890,2015-12-27,True,2
Bluezap1,413850,2015-12-21,True,1
76561198074200011,730,2015-11-15,True,2
jonasdbomb,346110,,True,2
L1J1N,570,2014-06-13,True,2
Lord_Exploit,311560,2015-03-13,True,2
Lord_Exploit,322170,2015-01-07,True,2
AVATAR715,48240,2014-01-02,False,0
AVATAR715,440,2015-11-18,True,2
AVATAR715,248570,2014-06-01,True,0
AVATAR715,264140,2014-03-18,True,0
AVATAR715,4000,2014-02-16,True,0
AVATAR715,266430,2015-02-25,True,2
AVATAR715,316010,2015-08-15,True,2
AVATAR715,249570,2014-12-25,True,0
YieuwMage,730,,True,2
76561198078752187,240,2014-12-16,True,0
A-Very-Sly-Person,304930,2015-08-14,True,1
A-Very-Sly-Person,440,2014-11-11,True,1
76561198211054671,730,,True,0
76561198211054671,333930,,True,0
76561197994493402,365590,,True,0
76561197994493402,264200,2015-03-01,True,2
76561197994493402,440,2014-11-27,True,2
Koolcaz12,298050,,False,2
76561198065656175,383080,2015-11-20,True,2
76561198188979775,440,,True,2
97396295,301520,2014-08-23,True,2
97396295,243870,2014-06-17,True,2
97396295,218230,2014-07-10,False,2
97396295,291550,,False,1
76561198126640317,251570,2015-06-15,True,2
76561198126640317,221100,2015-02-14,True,2
76561198126640317,316010,2015-09-12,True,2
76561198126640317,218230,2015-09-12,True,2
76561198126640317,333930,2015-07-01,True,2
76561198126640317,222880,2015-07-01,True,0
76561198126640317,730,2015-06-15,True,2
DemonicWolvz,55230,2015-01-15,True,2
DemonicWolvz,232090,2015-04-29,True,2
DemonicWolvz,4000,2015-03-29,True,0
DemonicWolvz,206420,2014-11-23,True,2
DemonicWolvz,224260,2014-02-12,True,0
DemonicWolvz,550,2013-12-26,True,2
DieMadchenschanderin,346110,2015-08-29,True,2
DieMadchenschanderin,380770,2015-10-05,False,0
DieMadchenschanderin,454890,,True,2
DieMadchenschanderin,227680,2013-06-14,False,0
GGargula,570,,False,1
GGargula,233250,2015-11-23,True,1
Myther43,273350,,True,2
getf0kinn0sc0pedm9,730,2015-05-31,True,0
getf0kinn0sc0pedm9,440,,False,0
76561198141443390,730,2015-05-03,True,2
76561198097333029,570,,True,0
whodafuqisthisguilao,730,2015-08-06,True,2
Magjiikal,370480,2015-10-05,True,2
Magjiikal,313740,2015-12-17,True,2
ohnospaghet,1840,2014-12-17,True,2
ohnospaghet,440,2014-09-30,True,2
ohnospaghet,266210,2015-03-10,True,2
ohnospaghet,369200,,True,0
ohnospaghet,252490,,False,0
ohnospaghet,264200,2015-03-10,True,2
76561198050347115,292030,,True,2
2768820078,287700,2015-09-01,True,1
2768820078,730,,False,1
2768820078,310950,,True,1
2768820078,377160,2015-11-18,True,1
2768820078,221380,2015-08-08,True,1
2768820078,333950,2015-07-15,True,1
2768820078,222420,2015-06-12,False,1
2768820078,271590,2015-05-19,True,1
2768820078,298110,2015-05-11,True,1
2768820078,222440,2015-05-02,True,1
76561198056392326,259530,,True,1
76561198056392326,219640,,False,1
76561198056392326,269210,,False,1
2d4nk4m3,317470,2014-08-20,False,0
2d4nk4m3,47410,2014-03-18,True,2
76561198078478151,730,,True,1
exiaez,365450,,True,1
76561198095921854,245620,2015-05-01,True,2
EizanAratoFujimaki,70,2015-10-28,True,0
EizanAratoFujimaki,359550,,False,1
TeCool,274980,2014-12-15,True,2
TeCool,202090,2014-12-06,True,2
TeCool,339280,2015-04-11,True,2
TeCool,314130,2015-01-31,False,0
2xDelorean,570,2015-09-13,True,1
2xDelorean,212680,2013-07-26,True,2
2xDelorean,200210,2013-05-18,True,2
2xDelorean,440,2011-10-30,True,2
washington_,440,,False,0
washington_,4000,,True,2
washington_,211820,,True,1
washington_,10180,,True,1
washington_,252490,,True,1
washington_,417860,2015-12-13,True,1
jewxxl,251970,2015-05-18,True,2
76561198088944293,359550,,True,1
76561198088944293,107410,,True,2
76561198088944293,218230,,False,1
76561198088944293,437701,,False,1
76561198088944293,304930,2014-12-13,True,1
76561198092540221,400,2015-07-31,True,2
76561198092540221,620,2015-06-29,True,2
76561198092540221,238460,2015-06-29,True,2
76561198092540221,6060,2015-02-12,True,2
76561198092540221,440,2014-03-29,True,2
76561198051258119,730,2015-02-04,True,2
nubquake123,265610,2014-04-21,True,2
Pyromanic,31280,2013-02-15,True,2
Pyromanic,4000,2013-02-15,True,2
Pyromanic,240,2013-02-15,True,2
76561198109656922,440,,True,2
CobRazor,252490,2015-08-01,True,0
relesprit,8930,2013-12-27,True,2
WitchHunter4542,304930,2014-07-16,True,2
WitchHunter4542,237310,2015-01-13,True,0
WitchHunter4542,224260,2014-01-11,True,2
pwrt,230410,2015-09-03,True,2
pwrt,440,2014-01-20,True,2
wantmahbody,440,2014-05-03,True,2
76561198115868847,219640,,False,0
benedictcuminherbatch,570,2014-08-02,True,2
76561198031207016,8930,2014-03-17,True,2
